Date,Affected pages
2025-11-22,134
2025-11-23,141
2025-11-24,141
2025-11-25,141
2025-11-26,141
2025-11-27,141
2025-11-28,141
2025-11-29,141
2025-11-30,141
2025-12-01,141
2025-12-02,141
2025-12-03,141
2025-12-04,141
2025-12-05,141
2025-12-06,141
2025-12-07,141
2025-12-08,141
2025-12-09,141
2025-12-10,141
2025-12-11,141
2025-12-12,141
2025-12-13,141
2025-12-14,141
2025-12-15,141
2025-12-16,140
2025-12-17,140
2025-12-18,140
2025-12-19,140
2025-12-20,140
2025-12-21,140
2025-12-22,140
2025-12-23,140
2025-12-24,148
2025-12-25,148
2025-12-26,148
2025-12-27,148
2025-12-28,148
2025-12-29,148
2025-12-30,148
2025-12-31,148
2026-01-01,148
2026-01-02,148
2026-01-03,148
2026-01-04,146
2026-01-05,146
2026-01-06,146
2026-01-07,150
2026-01-08,150
2026-01-09,150
2026-01-10,150
2026-01-11,144
2026-01-12,144
2026-01-13,144
2026-01-14,151
2026-01-15,151
2026-01-16,151
2026-01-17,151
2026-01-18,155
2026-01-19,155
2026-01-20,155
2026-01-21,156
2026-01-22,156
2026-01-23,156
2026-01-24,156
2026-01-25,157
2026-01-26,157
2026-01-27,157
2026-01-28,159
2026-01-29,159
2026-01-30,159
2026-01-31,159
2026-02-01,147
2026-02-02,147
2026-02-03,147
2026-02-04,144
2026-02-05,144
2026-02-06,144
2026-02-07,144
2026-02-08,144
2026-02-09,144
2026-02-10,144
2026-02-11,154
2026-02-12,154
2026-02-13,154
2026-02-14,154
2026-02-15,163
2026-02-16,163
2026-02-17,163
