Date,Affected pages
2025-11-22,210
2025-11-23,238
2025-11-24,238
2025-11-25,238
2025-11-26,238
2025-11-27,238
2025-11-28,238
2025-11-29,238
2025-11-30,238
2025-12-01,238
2025-12-02,238
2025-12-03,238
2025-12-04,238
2025-12-05,238
2025-12-06,238
2025-12-07,238
2025-12-08,238
2025-12-09,238
2025-12-10,238
2025-12-11,238
2025-12-12,238
2025-12-13,238
2025-12-14,238
2025-12-15,238
2025-12-16,240
2025-12-17,240
2025-12-18,240
2025-12-19,240
2025-12-20,240
2025-12-21,240
2025-12-22,240
2025-12-23,240
2025-12-24,259
2025-12-25,259
2025-12-26,259
2025-12-27,259
2025-12-28,259
2025-12-29,259
2025-12-30,259
2025-12-31,259
2026-01-01,259
2026-01-02,259
2026-01-03,259
2026-01-04,286
2026-01-05,286
2026-01-06,286
2026-01-07,286
2026-01-08,286
2026-01-09,286
2026-01-10,286
2026-01-11,281
2026-01-12,281
2026-01-13,281
2026-01-14,275
2026-01-15,275
2026-01-16,275
2026-01-17,275
2026-01-18,270
2026-01-19,270
2026-01-20,270
2026-01-21,272
2026-01-22,272
2026-01-23,272
2026-01-24,272
2026-01-25,277
2026-01-26,277
2026-01-27,277
2026-01-28,291
2026-01-29,291
2026-01-30,291
2026-01-31,291
2026-02-01,300
2026-02-02,300
2026-02-03,300
2026-02-04,298
2026-02-05,298
2026-02-06,298
2026-02-07,298
2026-02-08,286
2026-02-09,286
2026-02-10,286
2026-02-11,280
2026-02-12,280
2026-02-13,280
2026-02-14,280
2026-02-15,272
2026-02-16,272
2026-02-17,272
