Date,Affected pages
2025-11-22,158
2025-11-23,159
2025-11-24,159
2025-11-25,159
2025-11-26,159
2025-11-27,159
2025-11-28,159
2025-11-29,159
2025-11-30,159
2025-12-01,159
2025-12-02,159
2025-12-03,159
2025-12-04,159
2025-12-05,159
2025-12-06,159
2025-12-07,159
2025-12-08,159
2025-12-09,159
2025-12-10,159
2025-12-11,159
2025-12-12,159
2025-12-13,159
2025-12-14,159
2025-12-15,159
2025-12-16,159
2025-12-17,159
2025-12-18,159
2025-12-19,159
2025-12-20,159
2025-12-21,159
2025-12-22,159
2025-12-23,159
2025-12-24,161
2025-12-25,161
2025-12-26,161
2025-12-27,161
2025-12-28,161
2025-12-29,161
2025-12-30,161
2025-12-31,161
2026-01-01,161
2026-01-02,161
2026-01-03,161
2026-01-04,162
2026-01-05,162
2026-01-06,162
2026-01-07,162
2026-01-08,162
2026-01-09,162
2026-01-10,162
2026-01-11,162
2026-01-12,162
2026-01-13,162
2026-01-14,162
2026-01-15,162
2026-01-16,162
2026-01-17,162
2026-01-18,162
2026-01-19,162
2026-01-20,162
2026-01-21,162
2026-01-22,162
2026-01-23,162
2026-01-24,162
2026-01-25,162
2026-01-26,162
2026-01-27,162
2026-01-28,162
2026-01-29,162
2026-01-30,162
2026-01-31,162
2026-02-01,162
2026-02-02,162
2026-02-03,162
2026-02-04,162
2026-02-05,162
2026-02-06,162
2026-02-07,162
2026-02-08,162
2026-02-09,162
2026-02-10,162
2026-02-11,162
2026-02-12,162
2026-02-13,162
2026-02-14,162
2026-02-15,162
2026-02-16,162
2026-02-17,162
