Date,Affected pages
2025-11-22,92
2025-11-23,76
2025-11-24,76
2025-11-25,76
2025-11-26,76
2025-11-27,76
2025-11-28,76
2025-11-29,76
2025-11-30,76
2025-12-01,76
2025-12-02,76
2025-12-03,76
2025-12-04,76
2025-12-05,76
2025-12-06,76
2025-12-07,76
2025-12-08,76
2025-12-09,76
2025-12-10,76
2025-12-11,76
2025-12-12,76
2025-12-13,76
2025-12-14,76
2025-12-15,76
2025-12-16,64
2025-12-17,64
2025-12-18,64
2025-12-19,64
2025-12-20,64
2025-12-21,64
2025-12-22,64
2025-12-23,64
2025-12-24,63
2025-12-25,63
2025-12-26,63
2025-12-27,63
2025-12-28,63
2025-12-29,63
2025-12-30,63
2025-12-31,63
2026-01-01,63
2026-01-02,63
2026-01-03,63
2026-01-04,61
2026-01-05,61
2026-01-06,61
2026-01-07,60
2026-01-08,60
2026-01-09,60
2026-01-10,60
2026-01-11,60
2026-01-12,60
2026-01-13,60
2026-01-14,52
2026-01-15,52
2026-01-16,52
2026-01-17,52
2026-01-18,45
2026-01-19,45
2026-01-20,45
2026-01-21,44
2026-01-22,44
2026-01-23,44
2026-01-24,44
2026-01-25,43
2026-01-26,43
2026-01-27,43
2026-01-28,43
2026-01-29,43
2026-01-30,43
2026-01-31,43
2026-02-01,42
2026-02-02,42
2026-02-03,42
2026-02-04,34
2026-02-05,34
2026-02-06,34
2026-02-07,34
2026-02-08,31
2026-02-09,31
2026-02-10,31
2026-02-11,27
2026-02-12,27
2026-02-13,27
2026-02-14,27
2026-02-15,26
2026-02-16,26
2026-02-17,26
