Date,Affected pages
2025-11-22,299
2025-11-23,371
2025-11-24,371
2025-11-25,371
2025-11-26,371
2025-11-27,371
2025-11-28,371
2025-11-29,371
2025-11-30,371
2025-12-01,371
2025-12-02,371
2025-12-03,371
2025-12-04,371
2025-12-05,371
2025-12-06,371
2025-12-07,371
2025-12-08,371
2025-12-09,371
2025-12-10,371
2025-12-11,371
2025-12-12,371
2025-12-13,371
2025-12-14,371
2025-12-15,371
2025-12-16,377
2025-12-17,377
2025-12-18,377
2025-12-19,377
2025-12-20,377
2025-12-21,377
2025-12-22,377
2025-12-23,377
2025-12-24,374
2025-12-25,374
2025-12-26,374
2025-12-27,374
2025-12-28,374
2025-12-29,374
2025-12-30,374
2025-12-31,374
2026-01-01,374
2026-01-02,374
2026-01-03,374
2026-01-04,373
2026-01-05,373
2026-01-06,373
2026-01-07,372
2026-01-08,372
2026-01-09,372
2026-01-10,372
2026-01-11,372
2026-01-12,372
2026-01-13,372
2026-01-14,371
2026-01-15,371
2026-01-16,371
2026-01-17,371
2026-01-18,370
2026-01-19,370
2026-01-20,370
2026-01-21,370
2026-01-22,370
2026-01-23,370
2026-01-24,370
2026-01-25,371
2026-01-26,371
2026-01-27,371
2026-01-28,372
2026-01-29,372
2026-01-30,372
2026-01-31,372
2026-02-01,371
2026-02-02,371
2026-02-03,371
2026-02-04,371
2026-02-05,371
2026-02-06,371
2026-02-07,371
2026-02-08,370
2026-02-09,370
2026-02-10,370
2026-02-11,372
2026-02-12,372
2026-02-13,372
2026-02-14,372
2026-02-15,373
2026-02-16,373
2026-02-17,373
