id,source,matching,destination,type,category,status,ignore
"3","best-electric-scooters/fastest","exact","http://eridehero.com/fastest-electric-scooters/","301","","active",""
"4","best-electric-scooters/kids","exact","http://eridehero.com/best-electric-scooters-for-kids/","301","","active",
"5","best-electric-skateboards/cheap","exact","http://eridehero.com/best-cheap-electric-skateboards/","301","","active",
"6","best-hoverboards/cheap","exact","http://eridehero.com/best-cheap-hoverboards/","301","","active",
"7","best-hoverboards/chargers","exact","http://eridehero.com/best-hoverboard-chargers/","301","","active",
"8","best-hoverboards/fastest","exact","http://eridehero.com/fastest-hoverboards/","301","","active","case"
"9","best-hoverboards/off-road","exact","http://eridehero.com/best-off-road-hoverboards/","301","","active","case"
"10","best-hoverboards/go-kart","exact","http://eridehero.com/best-hoverkart-attachments/","301","","active","case"
"11","best-hoverboards/for-kids","exact","http://eridehero.com/best-hoverboards-for-kids/","301","","active","case"
"12","giveaway","exact","https://kingsumo.com/g/cygxfl/apollo-air-2022-electric-scooter-giveaway-eridehero-x-apollo","301","","active","case"
"14","blog","exact","http://eridehero.com","301","","active",""
"14","reviews","exact","http://eridehero.com","301","","active",""
"14","category/blog","exact","http://eridehero.com","301","","active",""
"20","kaabo-mantis-electric-scooter","exact","http://eridehero.com/kaabo-mantis-pro-electric-scooter-review/","301","","active",""
"20","kaabo-mantis-pro-electric-scooter","exact","http://eridehero.com/kaabo-mantis-pro-electric-scooter-review/","301","","active",""
"20","review/kaabo-mantis-electric-scooter","exact","http://eridehero.com/kaabo-mantis-pro-electric-scooter-review/","301","","active",""
"20","review/kaabo-mantis-electric-scooter-pro","exact","http://eridehero.com/kaabo-mantis-pro-electric-scooter-review/","301","","active",""
"23","blog/electric-scooter-giveaway-x7","exact","http://eridehero.com/electric-scooter-giveaway-x7/","301","","active",""
"24","halo-rover-x-hoverboard","exact","http://eridehero.com/halo-rover-x-hoverboard-review/","301","","active","case"
"24","review/halo-rover-x-hoverboard","exact","http://eridehero.com/halo-rover-x-hoverboard-review/","301","","active","case"
"25","blog/how-to-get-better-at-skateboarding","exact","http://eridehero.com/how-to-get-better-at-skateboarding/","301","","active","case"
"26","razor-hovertrax-2-0-hoverboard","exact","http://eridehero.com/razor-hovertrax-2-0-hoverboard-review/","301","","active","case"
"26","review/razor-hovertrax-2-0-hoverboard","exact","http://eridehero.com/razor-hovertrax-2-0-hoverboard-review/","301","","active","case"
"28","blog/hoverboard-weight-limit","exact","http://eridehero.com/hoverboard-weight-limit/","301","","active",""
"29","blog/how-much-do-hoverboards-weigh","exact","http://eridehero.com/how-much-do-hoverboards-weigh/","301","","active",""
"30","blog/hoverboard-wont-turn-on","exact","http://eridehero.com/hoverboard-wont-turn-on/","301","","active",""
"31","blog/can-you-take-a-hoverboard-on-an-airplane","exact","http://eridehero.com/can-you-take-a-hoverboard-on-an-airplane/","301","","active",""
"32","blog/electric-scooter-motors","exact","http://eridehero.com/electric-scooter-motors/","301","","active",""
"33","blog/how-to-lock-an-electric-scooter","exact","http://eridehero.com/how-to-lock-an-electric-scooter/","301","","active",""
"34","blog/electric-scooter-safety-tips","exact","http://eridehero.com/electric-scooter-safety-tips/","301","","active",""
"35","halo-board-beast-electric-skateboard","exact","http://eridehero.com/halo-board-beast-electric-skateboard-review/","301","","active",""
