Name,"Destination URL",Slug,"Categories (separated by semicolons)","Images To Download & Attach (separated by semicolons; jpg/png/gif only)","Geolocations Links (format: AU:http://google.com.au separated by semicolon)","Autolinker Keywords (separated by semicolon)",_ct_builder_shortcodes,_ct_other_template,_ct_template_404_page,_ct_template_all_archives,_ct_template_apply_if_archive_among_authors,_ct_template_apply_if_archive_among_cpt,_ct_template_apply_if_archive_among_taxonomies,_ct_template_apply_if_post_of_parents,_ct_template_archive_among_taxonomies,_ct_template_archive_post_types,_ct_template_archive_post_types_all,_ct_template_authors_archives,_ct_template_authors_archives_all,_ct_template_blog_posts,_ct_template_categories,_ct_template_categories_all,_ct_template_custom_taxonomies,_ct_template_custom_taxonomies_all,_ct_template_date_archive,_ct_template_exclude_ids,_ct_template_front_page,_ct_template_include_ids,_ct_template_index,_ct_template_inner_content,_ct_template_order,_ct_template_post_of_parents,_ct_template_post_types,_ct_template_search_page,_ct_template_single_all,_ct_template_tags,_ct_template_tags_all,_ct_template_taxonomies,_ct_use_template_taxonomies,_oxygen_lock_post_edit_mode,_ta_after_expire_redirect,_ta_autolink_keyword_limit,_ta_before_start_redirect,_ta_category_slug,_ta_category_slug_id,_ta_css_classes,_ta_link_expire_date,_ta_link_start_date,_ta_new_window,_ta_no_follow,_ta_pass_query_str,_ta_redirect_type,_ta_rel_tags,cmplz_hide_cookiebanner,surfer_current_traffic,surfer_post_traffic_archive,surfer_previous_perios_traffic,surfer_traffic_update_date
"Apollo City",https://apolloscooters.co/products/apollo-city-24?sca_ref=229283.5uWLRLT8Fu,apollo-city,"Electric Scooters",,CA:https://apolloscooters.ca/products/apollo-city-24?sca_ref=9799635.O1zYedtKbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway Ninebot Max G3",http://eridehero.com/products/segway-ninebot-max-g3/,ninebot-max-g3,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Vmax VX2 Hub",https://vmax-escooter.us/products/vx2-hub-vmax-electric-scooter?ref=eridehero,vmax-vx2-hub,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway E3 Pro",http://eridehero.com/products/segway-ninebot-e3-pro/,segway-e3-pro,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Navee GT3",https://naveetechscooter.pxf.io/6yNdgr,navee-gt3,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Navee GT3 Max",https://naveetechscooter.pxf.io/zxVb2M,navee-gt3-max,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Navee GT3 Pro",https://naveetechscooter.pxf.io/qzjx2y,navee-gt3-pro,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Navee ST3 Pro YouTube",https://naveetechscooter.pxf.io/c/3099931/2964970/33679?subId1=youtube,navee-st3-pro,"Electric Scooters",,DE:https://amzn.to/41FAPIO;IT:https://amzn.to/4p4T6JH;FR:https://amzn.to/4643pVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Apollo Go",https://apolloscooters.co/products/apollo-go?sca_ref=229283.5uWLRLT8Fu,apollo-go,"Electric Scooters",,GB:https://www.rideandglide.co.uk/product/apollo-go/?ref=eridehero;IE:GB;AT:GB;BE:GB;BG:GB;HR:GB;CY:GB;CZ:GB;DK:GB;EE:GB;FR:GB;FI:GB;DE:GB;GR:GB;GL:GB;IS:GB;IT:GB;LT:GB;LU:GB;LI:GB;MK:GB;MT:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQI 200F",https://shop.niu.com/products/niu-kqi-200f-foldable-handlebar-electric-scooter?ref=eridehero,niu-kqi-200f,"Electric Scooters",,AL:https://shopeu.niu.com/products/niu-kqi-200f-foldable-handlebar-electric-scooter?ref=eridehero;DZ:AL;AD:AL;AM:AL;AT:AL;BY:AL;BE:AL;HR:AL;CY:AL;CZ:AL;DK:AL;EE:AL;FO:AL;FI:AL;FR:AL;GE:AL;DE:AL;GI:AL;GR:AL;GL:AL;GD:AL;HU:AL;IS:AL;IE:AL;IM:AL;IL:AL;IT:AL;LV:AL;LI:AL;LT:AL;LU:AL;MC:AL;MD:AL;NL:AL;NO:AL;PL:AL;PT:AL;RO:AL;SM:AL;RS:AL;SK:AL;SI:AL;ES:AL;SE:AL;CH:AL;TR:AL;UA:AL;GB:AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQi 100F",https://shop.niu.com/products/niu-kqi-100f-electric-scooter?ref=eridehero,niu-kqi-100f,"Electric Scooters",,CA:https://shopca.niu.com/collections/kick-scooter/products/niu-kqi-100f-electric-scooter?ref=eridehero;DE:https://shopeu.niu.com/products/niu-kqi-100f-foldable-handlebar-electric-kick-scooter-with-suspension-eu-version?ref=eridehero;GB:DE;IE:DE;AT:DE;DK:DE;SE:DE;NO:DE;PL:DE;ES:DE;FR:DE;CZ:DE;HU:DE;CY:DE;BE:DE;BY:DE;AL:DE;AD:DE;GR:DE;GL:DE;GD:DE;FI:DE;IS:DE;IL:DE;IT:DE;PT:DE;SM:DE;RS:DE;SK:DE;SI:DE;CH:DE;TR:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
