path,page_type,group,sources,gsc_status,gsc_last_crawled,has_rankmath_redirect,rankmath_type,rankmath_dest,is_thirstyaffiliate,ta_name,ta_dest_url,exists_on_new_site,new_site_path,notes,redirect_status
/go/niu-kqi-200f/niu,affiliate-redirect,Affiliate Redirects (/go/),gsc:404,404,2025-12-03,,,,,,,no,,,ignored-fragment
/go/punkrider,affiliate-redirect,Affiliate Redirects (/go/),gsc:404,404,2026-02-02,,,,,,,no,,,mapped
/go/segway-gt2,affiliate-redirect,Affiliate Redirects (/go/),gsc:noindex,noindex,2025-07-15,,,,,,,no,,,no-redirect-needed
/go/vmax-vx5-pro-gt,affiliate-redirect,Affiliate Redirects (/go/),gsc:noindex,noindex,2026-02-01,,,,,,,no,,,no-redirect-needed
/recommends/apollo-city,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Apollo City,https://apolloscooters.co/products/apollo-city-24?sca_ref=229283.5uWLRLT8Fu,no,,,mapped
/recommends/apollo-city-2024,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Apollo City 2024,https://apolloscooters.co/products/apollo-city-24?sca_ref=229283.5uWLRLT8Fu,no,,,mapped
/recommends/apollo-city-pro,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Apollo City Pro YouTube,https://apolloscooters.co/products/apollo-city-24?sca_ref=229283.5uWLRLT8Fu,no,,,mapped
/recommends/apollo-city-pro-2023,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Apollo City Pro 2023,http://eridehero.com/products/apollo-city-pro-2023/,no,,,mapped
/recommends/apollo-ghost,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Apollo Ghost,https://apolloscooters.co/products/apollo-ghost?sca_ref=229283.5uWLRLT8Fu&sca_source=youtube,no,,,mapped
/recommends/apollo-go,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Apollo Go,https://apolloscooters.co/products/apollo-go?sca_ref=229283.5uWLRLT8Fu,no,,,mapped
/recommends/apolloair,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Apollo Air,https://apolloscooters.co/products/apollo-air?sca_ref=229283.5uWLRLT8Fu,no,,,mapped
/recommends/burne2max,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Nami Burn E 2 Max,https://fluidfreeride.com/products/nami-burn-e?ref=26,no,,,mapped
/recommends/cityrider,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Fluid CityRider,http://eridehero.com/products/fluidfreeride-cityrider/,no,,,mapped
/recommends/cruiser-s,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Emove Cruiser S,https://www.voromotors.com/products/emove-cruiser?ref=eridehero,no,,,mapped
/recommends/fluidhorizon,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Fluid Horizon,https://fluidfreeride.com/products/horizon-practical-allround-electric-scooter-for-commute?ref=26,no,,,mapped
/recommends/fluidmosquito,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Fluid Mosquito,http://eridehero.com/products/fluid-mosquito/,no,,,mapped
